id,reaction_id,reaction_name,pathway
Bacteroides_xylanisolvens_XB1A_AGORA1_03,A5PISO,arabinose-5-phosphate isomerase,Pentose and glucuronate interconversions
Bacteroides_xylanisolvens_XB1A_AGORA1_03,AACPS7,acyl-[acyl-carrier-protein] synthetase  (n-C12:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,AADSACYCL,2-Aminoadipate 6-semialdehyde,"Tropane, piperidine and pyridine alkaloid biosynthesis"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACCOAC,Acetyl Coenzyme A Carboxylase,Fatty acid oxidation
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACCOACL,Acetyl-CoA:carbon-dioxide ligase (ADP-forming),Pyruvate metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACGAM2E,N-Acetylglucosamine 2-Epimerase,Aminosugar metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACGAMK,N-Acetylglucosamine Kinase,Aminosugar metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACGAMtr2,acgam[c] transport via proton symport,"Transport, extracellular"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACGAt,N-Acetyl-D-glucosamine transport via permease,"Transport, extracellular"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACGK,acetylglutamate kinase,Arginine and proline metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACGS,N-acetylglutamate synthase,Urea cycle
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACHBPL,(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating),"Valine, leucine, and isoleucine metabolism"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACKr,acetate kinase,Pyruvate metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACLS_a,pyruvatethiamin diphosphate acetaldehydetransferase,"Valine, leucine, and isoleucine metabolism"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACLS_b,2-Acetolactate pyruvate-lyase (carboxylating),"Valine, leucine, and isoleucine metabolism"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACNAMt2r,"N-acetylneuraminate proton symport, reversible","Transport, extracellular"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACNML,N-Acetylneuraminate lyase,Aminosugar metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOAAGPAT140,myristoyl-1-acylglycerol-3-phosphate O-acyltransferase,Glycerophospholipid metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOAAGPAT160,palmitoyl-1-acylglycerol-3-phosphate O-acyltransferase,Glycerophospholipid metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOAAGPAT180,stearoyl-1-acylglycerol-3-phosphate O-acyltransferase,Glycerophospholipid metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,ACOAAGPATAI15,anteisopentadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,Glycerophospholipid metabolism
