scenario,diet,exchange_id,flux,uptake_flux,secretion_flux,abs_flux
allcohort_agebin_21_40,high_fiber,EX_phe_L(e),0.0,0.0,0.0,0.0
allcohort_agebin_21_40,high_fiber,EX_pheme(e),0.0,0.0,0.0,0.0
allcohort_agebin_21_40,high_fiber,EX_pi(e),0.0,0.0,0.0,0.0
allcohort_agebin_21_40,high_fiber,EX_pydam(e),0.0,0.0,0.0,0.0
allcohort_agebin_21_40,high_fiber,EX_q8(e),0.0,0.0,0.0,0.0
allcohort_agebin_21_40,high_fiber,EX_sheme(e),0.0,0.0,0.0,0.0
allcohort_agebin_21_40,high_fiber,EX_thymd(e),0.0,0.0,0.0,0.0
allcohort_agebin_21_40,high_fiber,EX_ttdca(e),0.0,0.0,0.0,0.0
allcohort_agebin_21_40,high_fiber,EX_ura(e),0.0,0.0,0.0,0.0
allcohort_agebin_21_40,western,EX_h2o(e),-10.0,10.0,0.0,10.0
allcohort_agebin_21_40,western,EX_glyc(e),-1.79965486,1.79965486,0.0,1.79965486
allcohort_agebin_21_40,western,EX_12dgr180(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_26dap_M(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_2dmmq8(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_2obut(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_3mop(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_ac(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_acgam(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_acmana(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_acnam(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_adn(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_ala_D(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_ala_L(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_amp(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_cgly(e),-1.0,1.0,0.0,1.0
allcohort_agebin_21_40,western,EX_chol(e),-1.0,1.0,0.0,1.0
